"","id","l3","rooms","bathrooms","surface_total","surface_covered","price","property_type"
"27247","2UDXgG9qCMsa/Q1/bLjH3w==","Recoleta",1,1,34,31,120000,"Departamento"
"7635","axlM53hVLvFw7vk6qydSkw==","Recoleta",4,2,169,160,535000,"Departamento"
"39260","ya+6YAgQMFlZyh8vhE+5Kw==","Recoleta",5,3,178,178,670000,"Departamento"
"23014","ol7d1U3Rf4KQZqAHM4DZpQ==","Recoleta",4,2,111,100,294500,"Departamento"
"3113","zv/xlzTuVdBPmTJeuJZTwg==","Recoleta",3,2,140,114,460000,"Departamento"
"23195","gxpA1mDwmDJwqG2PG7wD8A==","Recoleta",2,1,37,35,120000,"Departamento"
"1270","ZWMNzE4RAIkiD+pQL1R8MQ==","Recoleta",3,2,100,98,290000,"Departamento"
"38876","Z51Ei+QMjnOGSl0orl8dZQ==","Recoleta",3,1,107,99,360000,"Departamento"
"12679","Wm6DU4uyd4r42XFnTK9psg==","Recoleta",2,1,39,39,132000,"Departamento"
"42421","yS2yl3WuCfyYJGFtDHnH1w==","Recoleta",1,1,33,33,90500,"Departamento"
"34503","BtRAs3eap/UCFMJ1HfoL8Q==","Recoleta",4,2,126,120,550000,"Departamento"
"24066","38HnWwEVQykGl+AK0tMMjg==","Recoleta",2,1,55,51,200000,"Departamento"
"323","8aC6/PWn+i3sosxJannQHQ==","Recoleta",2,1,53,40,170000,"Departamento"
"44097","xiPufrW4WSwtmYa6BA2CKA==","Recoleta",1,1,37,34,130000,"Departamento"
"44996","JcpXj3jiF6+30kjM1jBlBA==","Recoleta",3,2,76,66,183000,"Departamento"
"13903","zJtTcOqXjzATwqK2P3DHPQ==","Recoleta",1,1,61,61,249000,"Departamento"
"2561","/otZ3Neui8DmYJjq2VQHSg==","Recoleta",2,1,47,44,130000,"Departamento"
"44498","E48x0IZYcTSfW77bm01Elw==","Recoleta",2,1,39,39,158000,"Departamento"
"45396","wlF6LcRREnV+Pok16dC5XA==","Recoleta",4,2,97,90,395000,"Departamento"
"28516","wFGKiVQUnKS9pO1xun10Mg==","Recoleta",4,1,124,115,330000,"Departamento"
"26212","8pk7RcH2GXzfTsfz+gDJZg==","Recoleta",3,1,102,100,295000,"Departamento"
"991","0fa4t0DPckCoSbXL1uJqMw==","Recoleta",5,1,155,149,349000,"Departamento"
"19301","yjhaSqxCUGzw6So+/+H6MQ==","Recoleta",6,2,168,168,500000,"Departamento"
"33498","SMC287rdeYesMdQIM6kgRw==","Recoleta",4,2,110,105,310000,"Departamento"
"39893","48vFgAUnE0JAgAWeXc03kw==","Recoleta",1,1,83,83,180000,"Departamento"
"36919","4zUvMNoe6CNY0iGZEQ7HCg==","Recoleta",1,1,33,33,105000,"Departamento"
"9371","HPFMNIgxKk3UKNDaEqNpwA==","Recoleta",3,2,104,95,399990,"Departamento"
"44098","apedq++WVPecev3KzqDaMA==","Recoleta",1,1,32,26,118000,"Departamento"
"23900","RVIEmPfCmovpT6WnnloVlw==","Recoleta",2,1,53,47,229000,"Departamento"
"28444","uehj9gP77390PJcCb2K22A==","Recoleta",4,1,143,138,349000,"Departamento"
